제품범주2,플랜트,제조일자,중분류(보정),count
더건강한 닭가슴살,진천BC,2021-07-03,동물성이물,1
더건강한 닭가슴살,진천BC,2021-07-03,동물성이물,1
양식반찬,진천BC,2021-07-03,동물성이물,1
비비고 한식반찬,진천BC,2021-07-03,동물성이물,1
비엔나,진천BC,2021-07-03,동물성이물,1
잡곡,부산공장,2021-07-04,미생물,1
잡곡,부산공장,2021-07-04,미생물,1
잡곡,부산공장,2021-07-04,미생물,1
잡곡,부산공장,2021-07-04,변화,1
잡곡,부산공장,2021-07-04,미생물,1
국판조미김,삼해상사(부안1),2021-07-04,합성수지류,1
고급맛살,씨푸드_음성,2021-07-04,동물성이물,1
국산콩두부,진천)두부,2021-07-04,인체이물류,1
땡류,진천)육가공,2021-07-04,기타이물류,1
까스류,진천BC,2021-07-04,기타이물류,1
쌈장업소용,공주공장,2021-07-05,변화,1
수입콩두부,꿈꾸는콩,2021-07-05,기타이물류,1
냉면,미정식품,2021-07-05,공정이물류,1
비비고 죽(파우치),부산공장,2021-07-05,인체이물류,1
백미,부산공장,2021-07-05,곰팡이,1
국판당 소물,인천1)당,2021-07-05,기타이물류,1
올리브유,인천2)유,2021-07-05,포장불량,1
FV _ OEM,진천B2B생산,2021-07-05,벌레류,1
베이컨,진천)육가공,2021-07-05,공정이물류,1
비비고 수제만두,푸드웨어,2021-07-05,기타이물류,1
국수,풍국면,2021-07-05,인체이물류,1
햇반 성형밥(OEM),한우물 영농조합,2021-07-05,중량수량미달,1
쌈장가정용,공주공장,2021-07-06,기타,1
잡곡,부산공장,2021-07-06,관능,1
비비고 죽 프리미엄(파우치),부산공장,2021-07-06,합성수지류,1
국판삼해김,삼해상사(김포),2021-07-06,포장불량,1
Gut Care,서흥 오송공장,2021-07-06,토사류,1
과일젤리,쌍인,2021-07-06,식물성이물,1
국판조미김,씨푸드_이천,2021-07-06,기타변질,1
올리브유,인천2)유,2021-07-06,캡불량,1
비비고 왕교자,인천냉동식품,2021-07-06,합성수지류,1
FV _ OEM,진천B2B생산,2021-07-06,합성수지류,1
